"state","murder","assault","urbanpop","rape"
"Alabama",13.2,236,0.58,21.2
"Alaska",10,263,0.48,44.5
"Arizona",8.1,294,0.8,31
"Arkansas",8.8,190,0.5,19.5
"California",9,276,0.91,40.6
"Colorado",7.9,204,0.78,38.7
"Connecticut",3.3,110,0.77,11.1
"Delaware",5.9,238,0.72,15.8
"Florida",15.4,335,0.8,31.9
"Georgia",17.4,211,0.6,25.8
"Hawaii",5.3,46,0.83,20.2
"Idaho",2.6,120,0.54,14.2
"Illinois",10.4,249,0.83,24
"Indiana",7.2,113,0.65,21
"Iowa",2.2,56,0.57,11.3
"Kansas",6,115,0.66,18
"Kentucky",9.7,109,0.52,16.3
"Louisiana",15.4,249,0.66,22.2
"Maine",2.1,83,0.51,7.8
"Maryland",11.3,300,0.67,27.8
"Massachusetts",4.4,149,0.85,16.3
"Michigan",12.1,255,0.74,35.1
"Minnesota",2.7,72,0.66,14.9
"Mississippi",16.1,259,0.44,17.1
"Missouri",9,178,0.7,28.2
"Montana",6,109,0.53,16.4
"Nebraska",4.3,102,0.62,16.5
"Nevada",12.2,252,0.81,46
"New Hampshire",2.1,57,0.56,9.5
"New Jersey",7.4,159,0.89,18.8
"New Mexico",11.4,285,0.7,32.1
"New York",11.1,254,0.86,26.1
"North Carolina",13,337,0.45,16.1
"North Dakota",0.8,45,0.44,7.3
"Ohio",7.3,120,0.75,21.4
"Oklahoma",6.6,151,0.68,20
"Oregon",4.9,159,0.67,29.3
"Pennsylvania",6.3,106,0.72,14.9
"Rhode Island",3.4,174,0.87,8.3
"South Carolina",14.4,279,0.48,22.5
"South Dakota",3.8,86,0.45,12.8
"Tennessee",13.2,188,0.59,26.9
"Texas",12.7,201,0.8,25.5
"Utah",3.2,120,0.8,22.9
"Vermont",2.2,48,0.32,11.2
"Virginia",8.5,156,0.63,20.7
"Washington",4,145,0.73,26.2
"West Virginia",5.7,81,0.39,9.3
"Wisconsin",2.6,53,0.66,10.8
"Wyoming",6.8,161,0.6,15.6
